City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
540,Pevek,RU,69.7008,170.3133,34.03,87,83,10.25,broken clouds
541,Alofi,NU,-19.0595,-169.9187,73.29,68,89,5.75,overcast clouds
542,Bluff,NZ,-46.6,168.3333,44.8,79,100,12.19,overcast clouds
543,Butaritari,KI,3.0707,172.7902,82.49,75,83,16.42,broken clouds
544,Mataura,NZ,-46.1927,168.8643,44.47,90,100,3.76,overcast clouds
545,Hilo,US,19.7297,-155.09,73.62,81,72,3.0,broken clouds
546,Barrow,US,71.2906,-156.7887,43.29,89,100,10.87,overcast clouds
547,Westport,US,41.1415,-73.3579,75.09,80,3,5.01,clear sky
548,Qaanaaq,GL,77.484,-69.3632,38.59,99,100,5.64,overcast clouds
549,Namibe,AO,-15.1961,12.1522,65.97,79,0,1.21,clear sky
550,Moshenskoye,RU,58.5102,34.5911,62.82,99,100,0.94,light rain
551,Kapaa,US,22.0752,-159.319,80.58,87,100,4.0,overcast clouds
552,Tupsan,PH,9.1992,124.7769,85.42,68,94,4.16,overcast clouds
553,Angermunde,DE,53.015,13.9992,56.21,95,100,11.81,light rain
554,Bayeux,BR,-7.125,-34.9322,72.23,100,100,4.61,light rain
555,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
556,Ostrovnoy,RU,68.0531,39.5131,65.97,54,11,14.85,few clouds
557,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
558,Salalah,OM,17.0151,54.0924,77.54,94,100,12.71,light rain
559,Karratha,AU,-20.7377,116.8463,74.39,19,4,15.75,clear sky
560,Necochea,AR,-38.5473,-58.7368,50.61,36,100,21.12,overcast clouds
561,Pasni,PK,25.2631,63.471,85.8,80,100,18.41,light rain
562,Jamestown,US,42.097,-79.2353,62.02,84,70,1.01,broken clouds
563,Nchelenge,ZM,-9.3451,28.734,60.46,55,2,6.98,clear sky
564,Gizo,SB,-8.103,156.8419,84.13,70,100,5.77,overcast clouds
565,Buena Vista,US,43.4203,-83.8986,60.94,83,0,0.0,clear sky
566,Bredasdorp,ZA,-34.5322,20.0403,48.11,65,57,7.47,broken clouds
567,Severo-Kurilsk,RU,50.6789,156.125,55.58,68,100,10.63,overcast clouds
568,Halberstadt,DE,51.9,11.05,60.24,94,99,8.61,light rain
569,Cidreira,BR,-30.1811,-50.2056,63.95,73,100,6.46,overcast clouds
570,Torbay,CA,47.6666,-52.7314,59.29,95,100,19.57,mist
571,Busselton,AU,-33.65,115.3333,58.66,66,100,8.77,overcast clouds
572,Halden,NO,59.1226,11.3871,57.63,93,100,8.39,overcast clouds
573,Buchanan,LR,5.8808,-10.0467,76.26,85,91,6.26,overcast clouds
574,Ancud,CL,-41.8697,-73.8203,41.23,81,100,18.12,light rain
575,Touros,BR,-5.1989,-35.4608,74.16,91,65,9.15,light rain
576,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
577,Torbay,CA,47.6666,-52.7314,59.29,95,100,19.57,mist
578,Souillac,MU,-20.5167,57.5167,73.78,60,75,12.66,broken clouds
579,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
580,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
581,Hermanus,ZA,-34.4187,19.2345,53.89,62,73,10.71,broken clouds
582,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
583,Veraval,IN,20.9,70.3667,82.81,86,100,21.16,light rain
584,College,US,64.8569,-147.8028,82.38,51,0,8.05,smoke
585,Kahului,US,20.8947,-156.47,77.85,88,86,13.0,overcast clouds
586,Yellowknife,CA,62.456,-114.3525,64.92,52,75,5.75,broken clouds
587,Albany,US,42.6001,-73.9662,63.3,87,14,3.85,few clouds
588,Ushuaia,AR,-54.8,-68.3,29.86,69,0,8.05,clear sky
589,Severo-Kurilsk,RU,50.6789,156.125,55.58,68,100,10.63,overcast clouds
590,Mokokchung,IN,26.3333,94.5333,79.09,73,26,3.22,scattered clouds
591,Busselton,AU,-33.65,115.3333,58.66,66,100,8.77,overcast clouds
592,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
593,Punta Arenas,CL,-53.15,-70.9167,28.51,100,0,12.66,clear sky
594,Makat,KZ,47.6469,53.3463,79.34,35,0,10.98,clear sky
595,Jalpan,MX,21.2333,-99.4833,68.18,91,14,2.84,few clouds
596,Upernavik,GL,72.7868,-56.1549,38.95,91,11,8.19,few clouds
597,Kangaatsiaq,GL,68.3065,-53.4641,38.82,92,100,10.89,overcast clouds
598,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
599,Hilo,US,19.7297,-155.09,73.62,81,72,3.0,broken clouds
600,Klaksvik,FO,62.2266,-6.589,47.32,82,100,13.04,overcast clouds
601,La Ronge,CA,55.1001,-105.2842,55.65,62,0,1.14,clear sky
602,Dikson,RU,73.5069,80.5464,33.28,86,13,1.41,few clouds
603,Cidreira,BR,-30.1811,-50.2056,63.95,73,100,6.46,overcast clouds
604,Rikitea,PF,-23.1203,-134.9692,74.71,76,57,21.34,light rain
605,Jamestown,US,42.097,-79.2353,62.02,84,70,1.01,broken clouds
606,Butaritari,KI,3.0707,172.7902,82.49,75,83,16.42,broken clouds
607,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
608,Hilo,US,19.7297,-155.09,73.62,81,72,3.0,broken clouds
609,Jonkoping,SE,57.7814,14.1562,62.38,100,75,5.75,mist
610,Busselton,AU,-33.65,115.3333,58.66,66,100,8.77,overcast clouds
611,Kulynychi,UA,49.9823,36.3842,81.18,33,3,9.28,clear sky
612,Galle,LK,6.0367,80.217,81.81,82,100,16.62,overcast clouds
613,Kargopol,RU,61.5071,38.9456,57.51,98,93,4.76,moderate rain
614,Airai,TL,-8.9266,125.4092,64.54,71,94,1.9,overcast clouds
615,New Norfolk,AU,-42.7826,147.0587,54.91,78,46,3.0,scattered clouds
616,Thompson,CA,55.7435,-97.8558,55.56,71,20,4.61,few clouds
617,Clyde River,CA,70.4692,-68.5914,39.43,81,40,3.44,scattered clouds
618,Meulaboh,ID,4.1363,96.1285,86.29,62,54,5.17,broken clouds
619,Hobart,AU,-42.8794,147.3294,55.26,64,23,1.99,few clouds
